,Sales-,Sales Growth %,Expenses-,Material Cost %,Manufacturing Cost %,Employee Cost %,Other Cost %,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,Share Capital-,Equity Capital,Reserves,Borrowings,Other Liabilities-,Trade Payables,Advance from Customers,Other liability items,Total Liabilities,Fixed Assets-,Gross Block,Accumulated Depreciation,CWIP,Investments,Other Assets-,Inventories,Trade receivables,Cash Equivalents,Loans n Advances,Other asset items,Total Assets,company_id,Non controlling int,Preference Capital,Other Liabilities+
Sep 2020,,,,,,,,,,,,,,,,,,3.01,3.01,4.42,0.00,0.30,,,0.30,7.73,0.00,,,0.00,7.65,0.08,,0.00,0.03,0.02,0.03,7.73,539947,,,
Mar 2011,101,,100,0.00%,2.69%,35.43%,60.51%,1,1%,0,1,2,-2,-1%,-2,-38.84,0%,0,0.08,1,2,41,16,0,25,44,9,9,0,0,0,35,0,2,23,3,8,44,540704,0,-0.00,
Mar 2012,146,44.56%,149,0.01%,3.05%,36.99%,61.44%,-2,-2%,0,-2,4,-4,-0%,-4,-2.81,0%,6,5.94,-9,9,61,25,1,35,66,15,15,0,0,0,51,0,2,34,5,10,66,540704,0,-0.00,
Mar 2013,189,28.82%,173,0.13%,3.47%,39.81%,48.51%,15,8%,3,1,6,10,0%,10,7.73,0%,6,4.04,1,26,60,19,1,39,90,18,18,0,0,0,72,0,1,32,25,14,90,540704,0,1.90,
Mar 2014,205,8.92%,193,0.50%,4.11%,42.78%,46.78%,12,6%,-15,1,6,-9,0%,-9,-6.80,0%,6,4.04,-8,15,72,23,0,49,83,19,19,0,4,0,59,0,2,37,6,15,83,540704,0,1.90,
Mar 2015,241,17.51%,225,0.79%,3.77%,43.93%,44.51%,17,7%,-10,2,8,-3,-0%,-3,-1.19,0%,9,7.39,-10,28,78,23,0,55,103,24,50,26,0,0,79,0,1,53,13,12,103,540704,0,1.80,
Mar 2016,255,5.55%,248,0.00%,4.10%,49.33%,43.83%,7,3%,-69,3,10,-75,0%,-75,-50.80,0%,9,7.39,-85,49,153,35,1,116,124,28,63,34,0,0,95,0,2,58,24,11,124,540704,0,1.80,
Mar 2017,331,29.81%,272,0.00%,3.10%,35.29%,43.84%,59,18%,0,6,10,43,0%,43,20.22,0%,11,10.62,-40,45,104,15,1,88,119,24,34,10,0,0,95,0,2,58,19,16,119,540704,-0,-0.00,
Mar 2018,387,16.88%,309,0.00%,2.83%,34.47%,42.63%,78,20%,19,2,10,86,14%,74,32.52,5%,11,11.36,156,6,99,18,1,80,273,68,87,20,0,74,132,0,4,98,14,17,273,540704,-0,-0.00,
Mar 2019,405,4.79%,331,0.00%,2.87%,35.06%,43.71%,74,18%,16,5,27,58,27%,42,18.68,8%,11,11.36,191,52,107,21,2,84,362,124,153,29,0,137,101,0,3,68,20,11,362,540704,-0,-0.00,
Mar 2020,430,6.26%,376,0.00%,2.70%,35.86%,48.80%,54,13%,18,5,28,39,24%,30,12.97,27%,11,11.38,217,61,116,31,0,84,405,133,170,37,0,126,145,0,2,115,17,12,405,540704,-0,-0.00,
TTM,364,,309,,,,,55,15%,19,5,28,41,,32,14.08,,,,,,,,,,,,,,,,,,,,,,,540704,,,
Sep 2020,,,,,,,,,,,,,,,,,,11,11.39,228,57,122,41,,81,419,127,,,0,100,192,0,3,158,5,25,419,540704,-0,,
Mar 2009,1225,,914,0.50%,48.06%,5.65%,20.44%,311,25%,6,21,69,227,21%,179,14.59,14%,61,61,770,703,297,0,0,297,1831,1013,1760,747,97,89,632,66,23,327,216,0,1831,500380,0,,
Mar 2010,1490,21.72%,1066,-0.20%,43.50%,5.73%,22.48%,425,28%,9,23,80,331,27%,241,19.70,13%,61,61,960,922,449,0,0,449,2391,1063,1904,841,182,481,666,75,29,220,341,0,2391,500380,0,,
Mar 2011,1322,-11.29%,1131,19.38%,0.00%,6.07%,60.12%,191,14%,33,85,60,79,25%,59,4.83,26%,61,61,985,840,551,79,0,472,2438,1381,2319,938,41,528,488,120,28,89,58,193,2438,500380,0,,
Mar 2012,1718,29.94%,1390,21.39%,0.00%,5.73%,53.79%,328,19%,24,80,130,143,24%,109,8.89,22%,61,61,1114,915,696,105,0,591,2786,1329,2450,1121,294,454,709,120,38,89,90,371,2786,500380,0,,
Mar 2013,2055,19.61%,1643,23.67%,24.84%,5.58%,25.84%,412,20%,55,84,149,235,25%,175,14.87,17%,59,59,1200,1337,547,129,27,392,3143,1436,2679,1244,688,405,615,115,50,13,106,331,3143,500380,0,,
Mar 2014,2057,0.08%,1773,26.80%,25.72%,6.01%,27.70%,283,14%,44,77,135,115,19%,94,7.98,25%,59,59,1245,1681,666,135,35,487,3651,1701,3162,1461,925,358,668,108,57,88,216,199,3651,500380,10,,
Mar 2015,2316,12.59%,1985,24.56%,26.42%,6.46%,28.30%,330,14%,-12,94,115,109,4%,103,8.75,23%,59,59,1279,1949,936,226,37,661,4223,2708,4300,1593,455,273,788,228,57,19,390,95,4223,500380,12,,
Mar 2016,2635,13.81%,2370,25.92%,25.77%,7.51%,30.76%,265,10%,72,222,166,-51,108%,1,0.11,220%,59,59,1261,2258,912,205,53,644,4491,2851,3017,165,633,271,736,247,97,33,610,-250,4491,500380,11,,
Mar 2017,2922,10.86%,2552,25.56%,24.72%,7.28%,29.78%,370,13%,129,244,175,79,-10%,86,7.29,10%,59,59,1342,2687,1044,278,85,668,5132,3556,3896,340,307,531,738,321,90,10,618,-302,5132,500380,13,,
Mar 2018,3748,28.30%,3317,21.98%,29.20%,7.02%,30.28%,432,12%,72,264,207,32,-33%,55,4.69,16%,59,59,1385,2546,1111,329,102,679,5101,3627,4174,546,228,473,773,356,102,12,698,-395,5101,500380,1,,
Mar 2019,4316,15.15%,3863,20.16%,32.88%,6.95%,29.50%,454,11%,59,253,211,49,17%,51,4.36,17%,59,59,1426,2135,1446,545,76,833,5066,3451,4207,756,417,377,821,352,110,19,752,-413,5066,500380,-8,,
Mar 2020,4364,1.11%,3596,17.87%,30.34%,7.88%,26.31%,768,18%,46,225,220,369,31%,248,21.08,12%,59,59,1628,1999,1477,510,89,880,5163,3585,4547,962,166,458,954,481,96,33,752,-408,5163,500380,-3,,
TTM,4259,,3450,,,,,808,19%,59,215,228,424,,288,24.48,,,,,,,,,,,,,,,,,,,,,,,500380,,,
Sep 2020,,,,,,,,,,,,,,,,,,59,59,1767,1618,1818,454,,1361,5261,3494,,,187,453,1127,409,88,278,105,247,5261,500380,2,,
Mar 2017,68,,66,55%,11%,15%,16%,2,3%,2,5,4,-5,13%,-4,-12.06,0%,2,1.70,14,41,24,11.43,0.19,11.92,80,30,69,39,0,0,51,21.01,16.90,3.43,5.07,4.20,80,505299,,,
Mar 2018,86,26.24%,76,57%,10%,11%,10%,10,12%,0,6,3,2,-26%,2,6.26,0%,2,1.70,17,43,25,13.09,0.16,11.81,87,27,70,43,0,0,59,26.42,22.38,3.77,4.34,1.95,87,505299,,,
Mar 2019,105,21.45%,93,62%,7%,10%,11%,12,11%,1,6,3,3,-2%,3,9.53,8%,2,1.70,20,40,27,14.23,0.49,12.17,88,25,71,46,0,0,63,24.98,28.48,3.63,4.83,0.88,88,505299,,,
Mar 2020,106,1.27%,94,59%,0%,11%,19%,12,11%,5,6,3,8,-2%,8,24.62,0%,2,1.70,27,35,25,8.89,,16.21,89,24,,,0,0,64,29.45,26.58,2.97,0.50,4.69,89,505299,,,
