,Sales-,Sales Growth %,Expenses-,Material Cost %,Manufacturing Cost %,Employee Cost %,Other Cost %,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,Share Capital-,Equity Capital,Reserves,Borrowings,Other Liabilities-,Trade Payables,Advance from Customers,Other liability items,Total Liabilities,Fixed Assets-,Gross Block,Accumulated Depreciation,CWIP,Investments,Other Assets-,Inventories,Trade receivables,Cash Equivalents,Loans n Advances,Other asset items,Total Assets,company_id,Preference Capital,Non controlling int,Other Assets+
Mar 2013,2594,2.09%,2385,59%,8%,13%,12%,209,8%,6,55,49,112,41%,66,8.31,24%,16,15.87,915,334,1136,584,135,411,2401,533,862,329,17,4,1847,360,564,69,664,190,2401,500241,,7,
Mar 2014,2675,3.13%,2467,57%,7%,14%,15%,208,8%,3,51,55,105,38%,64,8.07,31%,16,15.87,980,297,1283,583,110,587,2576,543,921,379,10,12,2011,274,679,72,738,248,2576,500241,,4,
Mar 2015,2713,1.41%,2521,53%,8%,15%,16%,192,7%,16,50,95,63,28%,41,5.18,10%,16,15.88,996,355,1258,625,96,533,2625,571,1041,470,12,0,2042,339,788,64,602,250,2625,500241,,4,
Mar 2016,2642,-2.62%,2567,51%,15%,16%,16%,75,3%,27,51,66,-15,25%,-24,-3.04,-16%,16,15.88,907,362,1166,539,111,514,2450,501,985,484,6,43,1901,362,568,61,582,328,2450,500241,,2,
Mar 2017,2526,-4.38%,2431,51%,11%,19%,16%,95,4%,31,45,65,16,111%,4,0.48,207%,16,15.88,882,359,1194,550,0,641,2451,480,1008,528,4,46,1921,431,532,73,603,283,2451,500241,,3,
Mar 2018,2775,9.86%,2626,52%,11%,17%,13%,150,5%,22,40,59,73,37%,49,6.22,40%,16,15.88,927,346,1266,575,0,688,2555,461,1044,583,13,49,2031,520,543,92,712,165,2555,500241,,3,
Mar 2019,3349,20.67%,3221,55%,10%,17%,14%,128,4%,24,47,64,41,113%,3,0.44,570%,16,15.88,893,380,1377,675,0,699,2666,457,1107,650,25,57,2127,617,610,74,696,132,2666,500241,,3,
Mar 2020,3135,-6.38%,2928,52%,10%,17%,14%,207,7%,38,52,71,121,44%,72,9.05,28%,16,15.88,927,578,1327,535,0,789,2848,501,1212,711,51,104,2191,616,490,321,598,167,2848,500241,,3,
TTM,2779,,2551,,,,,228,8%,32,53,75,132,,93,11.68,,,,,,,,,,,,,,,,,,,,,,,500241,,,
Sep 2020,,,,,,,,,,,,,,,,,,16,15.90,932,317,1244,439,,802,2508,479,,,61,152,1816,549,387,151,172,557,2508,500241,,3,
Mar 2009,32,-26%,28,7%,75%,2%,4%,4,12%,0,1,3,1,120%,-0,-0.28,0%,4,3.85,8,7,12,7.44,0.00,4.08,31,22,40.97,18.74,0,1,7,0.61,3.49,1.47,1.69,-0.01,31,514316,,,
